title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Roger Corman's Death Race 2050,Fandango | Movies Anywhere,NEW_TMDB,,,,401544,Death Race 2050,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Schindler's List,Fandango | Movies Anywhere,NEW_TMDB,,,,424,Schindler's List,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Shelter,Fandango | Movies Anywhere,NEW_TMDB,,,,1290821,Shelter,2026,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Skyfall,Fandango,NEW_TMDB,,,,37724,Skyfall,2012,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Sneakers,Fandango | Movies Anywhere,NEW_TMDB,,,,2322,Sneakers,1992,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
So I Married An Axe Murderer,Fandango | Movies Anywhere,NEW_TMDB,,,,10442,So I Married an Axe Murderer,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Son-In-Law,Fandango | Movies Anywhere,NEW_TMDB,,,,13203,Son in Law,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Soul Survivors,Fandango,NEW_TMDB,,,,14033,Soul Survivors,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Spectre,Fandango,NEW_TMDB,,,,206647,Spectre,2015,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Spider-Man: Homecoming,Fandango | Movies Anywhere,NEW_TMDB,,,,315635,Spider-Man: Homecoming,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Spider-Man: Into The Spider-Verse,Fandango | Movies Anywhere,NEW_TMDB,,,,324857,Spider-Man: Into the Spider-Verse,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Spider-Man: No Way Home,Fandango | Movies Anywhere,NEW_TMDB,,,,634649,Spider-Man: No Way Home,2021,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
